province_id;id;th_name;en_name;
10;1001;พระนคร;Phra Nakhon;
10;1002;ดุสิต;Dusit;
10;1003;หนองจอก;Nong Chok;
10;1004;บางรัก;Bang Rak;
10;1005;บางเขน;Bang Khen;
10;1006;บางกะปิ;Bang Kapi;
10;1007;ปทุมวัน;Pathum Wan;
10;1008;ป้อมปราบศัตรูพ่าย;Pom Prap Sattru Phai;
10;1009;พระโขนง;Phra Khanong;
10;1010;มีนบุรี;Min Buri;
10;1011;ลาดกระบัง;Lat Krabang;
10;1012;ยานนาวา;Yan Nawa;
10;1013;สัมพันธวงศ์;Samphanthawong;
10;1014;พญาไท;Phaya Thai;
10;1015;ธนบุรี;Thon Buri;
10;1016;บางกอกใหญ่;Bangkok Yai;
10;1017;ห้วยขวาง;Huai Khwang;
10;1018;คลองสาน;Khlong San;
10;1019;ตลิ่งชัน;Taling Chan;
10;1020;บางกอกน้อย;Bangkok Noi;
10;1021;บางขุนเทียน;Bang Khun Thian;
10;1022;ภาษีเจริญ;Phasi Charoen;
10;1023;หนองแขม;Nong Khaem;
10;1024;ราษฎร์บูรณะ;Rat Burana;
10;1025;บางพลัด;Bang Phlat;
10;1026;ดินแดง;Din Daeng;
10;1027;บึงกุ่ม;Bueng Kum;
10;1028;สาทร;Sathon;
10;1029;บางซื่อ;Bang Sue;
10;1030;จตุจักร;Chatuchak;
10;1031;บางคอแหลม;Bang Kho Laem;
10;1032;ประเวศ;Prawet;
10;1033;คลองเตย;Khlong Toei;
10;1034;สวนหลวง;Suan Luang;
10;1035;จอมทอง;Chom Thong;
10;1036;ดอนเมือง;Don Mueang;
10;1037;ราชเทวี;Ratchathewi;
10;1038;ลาดพร้าว;Lat Phrao;
10;1039;วัฒนา;Vadhana;
10;1040;บางแค;Bang Khae;
10;1041;หลักสี่;Lak Si;
10;1042;สายไหม;Sai Mai;
10;1043;คันนายาว;Khan Na Yao;
10;1044;สะพานสูง;Saphan Sung;
10;1045;วังทองหลาง;Wang Thonglang;
10;1046;คลองสามวา;Khlong Sam Wa;
10;1047;บางนา;Bang Na;
10;1048;ทวีวัฒนา;Thawi Watthana;
10;1049;ทุ่งครุ;Thung Khru;
10;1050;บางบอน;Bang Bon;
11;1101;เมืองสมุทรปราการ;Mueang Samut Prakan;
11;1102;บางบ่อ;Bang Bo;
11;1103;บางพลี;Bang Phli;
11;1104;พระประแดง;Phra Pradaeng;
11;1105;พระสมุทรเจดีย์;Phra Samut Chedi;
11;1106;บางเสาธง;Bang Sao Thong;
12;1201;เมืองนนทบุรี;Mueang Nonthaburi;
12;1202;บางกรวย;Bang Kruai;
12;1203;บางใหญ่;Bang Yai;
12;1204;บางบัวทอง;Bang Bua Thong;
12;1205;ไทรน้อย;Sai Noi;
12;1206;ปากเกร็ด;Pak Kret;
13;1301;เมืองปทุมธานี;Mueang Pathum Thani;
13;1302;คลองหลวง;Khlong Luang;
13;1303;ธัญบุรี;Thanyaburi;
13;1304;หนองเสือ;Nong Suea;
13;1305;ลาดหลุมแก้ว;Lat Lum Kaeo;
13;1306;ลำลูกกา;Lam Luk Ka;
13;1307;สามโคก;Sam Khok;
14;1401;พระนครศรีอยุธยา;Phra Nakhon Si Ayutthaya;
14;1402;ท่าเรือ;Tha Ruea;
14;1403;นครหลวง;Nakhon Luang;
14;1404;บางไทร;Bang Sai;
14;1405;บางบาล;Bang Ban;
14;1406;บางปะอิน;Bang Pa-in;
14;1407;บางปะหัน;Bang Pahan;
14;1408;ผักไห่;Phak Hai;
14;1409;ภาชี;Phachi;
14;1410;ลาดบัวหลวง;Lat Bua Luang;
14;1411;วังน้อย;Wang Noi;
14;1412;เสนา;Sena;
14;1413;บางซ้าย;Bang Saai;
14;1414;อุทัย;Uthai;
14;1415;มหาราช;Maha Rat;
14;1416;บ้านแพรก;Ban Phraek;
15;1501;เมืองอ่างทอง;Mueang Ang Thong;
15;1502;ไชโย;Chaiyo;
15;1503;ป่าโมก;Pa Mok;
15;1504;โพธิ์ทอง;Pho Thong;
15;1505;แสวงหา;Sawaeng Ha;
15;1506;วิเศษชัยชาญ;Wiset Chai Chan;
15;1507;สามโก้;Samko;
16;1601;เมืองลพบุรี;Mueang Lop Buri;
16;1602;พัฒนานิคม;Phatthana Nikhom;
16;1603;โคกสำโรง;Khok Samrong;
16;1604;ชัยบาดาล;Chai Badan;
16;1605;ท่าวุ้ง;Tha Wung;
16;1606;บ้านหมี่;Ban Mi;
16;1607;ท่าหลวง;Tha Luang;
16;1608;สระโบสถ์;Sa Bot;
16;1609;โคกเจริญ;Khok Charoen;
16;1610;ลำสนธิ;Lam Sonthi;
16;1611;หนองม่วง;Nong Muang;
17;1701;เมืองสิงห์บุรี;Mueang Sing Buri;
17;1702;บางระจัน;Bang Rachan;
17;1703;ค่ายบางระจัน;Khai Bang Rachan;
17;1704;พรหมบุรี;Phrom Buri;
17;1705;ท่าช้าง;Tha Chang;
17;1706;อินทร์บุรี;In Buri;
18;1801;เมืองชัยนาท;Mueang Chai Nat;
18;1802;มโนรมย์;Manorom;
18;1803;วัดสิงห์;Wat Sing;
18;1804;สรรพยา;Sapphaya;
18;1805;สรรคบุรี;Sankhaburi;
18;1806;หันคา;Hankha;
18;1807;หนองมะโมง;Nong Mamong;
18;1808;เนินขาม;Noen Kham;
19;1901;เมืองสระบุรี;Mueang Saraburi;
19;1902;แก่งคอย;Kaeng Khoi;
19;1903;หนองแค;Nong Khae;
19;1904;วิหารแดง;Wihan Daeng;
19;1905;หนองแซง;Nong Saeng;
19;1906;บ้านหมอ;Ban Mo;
19;1907;ดอนพุด;Don Phut;
19;1908;หนองโดน;Nong Don;
19;1909;พระพุทธบาท;Phra Phutthabat;
19;1910;เสาไห้;Sao Hai;
19;1911;มวกเหล็ก;Muak Lek;
19;1912;วังม่วง;Wang Muang;
19;1913;เฉลิมพระเกียรติ;Chaloem Phra Kiat;
20;2001;เมืองชลบุรี;Mueang Chon Buri;
20;2002;บ้านบึง;Ban Bueng;
20;2003;หนองใหญ่;Nong Yai;
20;2004;บางละมุง;Bang Lamung;
20;2005;พานทอง;Phan Thong;
20;2006;พนัสนิคม;Phanat Nikhom;
20;2007;ศรีราชา;Si Racha;
20;2008;เกาะสีชัง;Ko Sichang;
20;2009;สัตหีบ;Sattahip;
20;2010;บ่อทอง;Bo Thong;
20;2011;เกาะจันทร์;Ko Chan;
21;2101;เมืองระยอง;Mueang Rayong;
21;2102;บ้านฉาง;Ban Chang;
21;2103;แกลง;Klaeng;
21;2104;วังจันทร์;Wang Chan;
21;2105;บ้านค่าย;Ban Khai;
21;2106;ปลวกแดง;Pluak Daeng;
21;2107;เขาชะเมา;Khao Chamao;
21;2108;นิคมพัฒนา;Nikhom Phatthana;
22;2201;เมืองจันทบุรี;Mueang Chanthaburi;
22;2202;ขลุง;Khlung;
22;2203;ท่าใหม่;Tha Mai;
22;2204;โป่งน้ำร้อน;Pong Nam Ron;
22;2205;มะขาม;Makham;
22;2206;แหลมสิงห์;Laem Sing;
22;2207;สอยดาว;Soi Dao;
22;2208;แก่งหางแมว;Kaeng Hang Maeo;
22;2209;นายายอาม;Na Yai Am;
22;2210;เขาคิชฌกูฏ;Khao Khitchakut;
23;2301;เมืองตราด;Mueang Trat;
23;2302;คลองใหญ่;Khlong Yai;
23;2303;เขาสมิง;Khao Saming;
23;2304;บ่อไร่;Bo Rai;
23;2305;แหลมงอบ;Laem Ngop;
23;2306;เกาะกูด;Ko Kut;
23;2307;เกาะช้าง;Ko Chang;
24;2401;เมืองฉะเชิงเทรา;Mueang Chachoengsao;
24;2402;บางคล้า;Bang Khla;
24;2403;บางน้ำเปรี้ยว;Bang Nam Priao;
24;2404;บางปะกง;Bang Pakong;
24;2405;บ้านโพธิ์;Ban Pho;
24;2406;พนมสารคาม;Phanom Sarakham;
24;2407;ราชสาส์น;Ratchasan;
24;2408;สนามชัยเขต;Sanam Chai Khet;
24;2409;แปลงยาว;Plaeng Yao;
24;2410;ท่าตะเกียบ;Tha Takiap;
24;2411;คลองเขื่อน;Khlong Khuean;
25;2501;เมืองปราจีนบุรี;Mueang Prachin Buri;
25;2502;กบินทร์บุรี;Kabin Buri;
25;2503;นาดี;Na Di;
25;2506;บ้านสร้าง;Ban Sang;
25;2507;ประจันตคาม;Prachantakham;
25;2508;ศรีมหาโพธิ;Si Maha Phot;
25;2509;ศรีมโหสถ;Si Mahosot;
26;2601;เมืองนครนายก;Mueang Nakhon Nayok;
26;2602;ปากพลี;Pak Phli;
26;2603;บ้านนา;Ban Na;
26;2604;องครักษ์;Ongkharak;
27;2701;เมืองสระแก้ว;Mueang Sa Kaeo;
27;2702;คลองหาด;Khlong Hat;
27;2703;ตาพระยา;Ta Phraya;
27;2704;วังน้ำเย็น;Wang Nam Yen;
27;2705;วัฒนานคร;Watthana Nakhon;
27;2706;อรัญประเทศ;Aranyaprathet;
27;2707;เขาฉกรรจ์;Khao Chakan;
27;2708;โคกสูง;Khok Sung;
27;2709;วังสมบูรณ์;Wang Sombun;
30;3001;เมืองนครราชสีมา;Mueang Nakhon Ratchasima;
30;3002;ครบุรี;Khon Buri;
30;3003;เสิงสาง;Soeng Sang;
30;3004;คง;Khong;
30;3005;บ้านเหลื่อม;Ban Lueam;
30;3006;จักราช;Chakkarat;
30;3007;โชคชัย;Chok Chai;
30;3008;ด่านขุนทด;Dan Khun Thot;
30;3009;โนนไทย;Non Thai;
30;3010;โนนสูง;Non Sung;
30;3011;ขามสะแกแสง;Kham Sakaesaeng;
30;3012;บัวใหญ่;Bua Yai;
30;3013;ประทาย;Prathai;
30;3014;ปักธงชัย;Pak Thong Chai;
30;3015;พิมาย;Phimai;
30;3016;ห้วยแถลง;Huai Thalaeng;
30;3017;ชุมพวง;Chum Phuang;
30;3018;สูงเนิน;Sung Noen;
30;3019;ขามทะเลสอ;Kham Thale So;
30;3020;สีคิ้ว;Sikhio;
30;3021;ปากช่อง;Pak Chong;
30;3022;หนองบุญมาก;Nong Bunmak;
30;3023;แก้งสนามนาง;Kaeng Sanam Nang;
30;3024;โนนแดง;Non Daeng;
30;3025;วังน้ำเขียว;Wang Nam Khiao;
30;3026;เทพารักษ์;Thepharak;
30;3027;เมืองยาง;Mueang Yang;
30;3028;พระทองคำ;Phra Thong Kham;
30;3029;ลำทะเมนชัย;Lam Thamenchai;
30;3030;บัวลาย;Bua Lai;
30;3031;สีดา;Sida;
30;3032;เฉลิมพระเกียรติ;Chaloem Phra Kiat;
31;3101;เมืองบุรีรัมย์;Mueang Buri Ram;
31;3102;คูเมือง;Khu Mueang;
31;3103;กระสัง;Krasang;
31;3104;นางรอง;Nang Rong;
31;3105;หนองกี่;Nong Ki;
31;3106;ละหานทราย;Lahan Sai;
31;3107;ประโคนชัย;Prakhon Chai;
31;3108;บ้านกรวด;Ban Kruat;
31;3109;พุทไธสง;Phutthaisong;
31;3110;ลำปลายมาศ;Lam Plai Mat;
31;3111;สตึก;Satuek;
31;3112;ปะคำ;Pakham;
31;3113;นาโพธิ์;Na Pho;
31;3114;หนองหงส์;Nong Hong;
31;3115;พลับพลาชัย;Phlapphla Chai;
31;3116;ห้วยราช;Huai Rat;
31;3117;โนนสุวรรณ;Non Suwan;
31;3118;ชำนิ;Chamni;
31;3119;บ้านใหม่ไชยพจน์;Ban Mai Chaiyaphot;
31;3120;โนนดินแดง;Non Din Daeng;
31;3121;บ้านด่าน;Ban Dan;
31;3122;แคนดง;Khaen Dong;
31;3123;เฉลิมพระเกียรติ;Chaloem Phra Kiat;
32;3201;เมืองสุรินทร์;Mueang Surin;
32;3202;ชุมพลบุรี;Chumphon Buri;
32;3203;ท่าตูม;Tha Tum;
32;3204;จอมพระ;Chom Phra;
32;3205;ปราสาท;Prasat;
32;3206;กาบเชิง;Kap Choeng;
32;3207;รัตนบุรี;Rattanaburi;
32;3208;สนม;Sanom;
32;3209;ศีขรภูมิ;Sikhoraphum;
32;3210;สังขะ;Sangkha;
32;3211;ลำดวน;Lamduan;
32;3212;สำโรงทาบ;Samrong Thap;
32;3213;บัวเชด;Buachet;
32;3214;พนมดงรัก;Phanom Dong Rak;
32;3215;ศรีณรงค์;Si Narong;
32;3216;เขวาสินรินทร์;Khwao Sinrin;
32;3217;โนนนารายณ์;Non Narai;
33;3301;เมืองศรีสะเกษ;Mueang Si Sa Ket;
33;3302;ยางชุมน้อย;Yang Chum Noi;
33;3303;กันทรารมย์;Kanthararom;
33;3304;กันทรลักษ์;Kantharalak;
33;3305;ขุขันธ์;Khukhan;
