amphoe_id;id;th_name;en_name;zipcode_main;zipcode_all;zipcode_remark;
1001;100101;พระบรมมหาราชวัง;Phra Borom Maha Ratchawang;10200;10200;;
1001;100102;วังบูรพาภิรมย์;Wang Burapha Phirom;10200;10200;;
1001;100103;วัดราชบพิธ;Wat Ratchabophit;10200;10200;;
1001;100104;สำราญราษฎร์;Samran Rat;10200;10200;;
1001;100105;ศาลเจ้าพ่อเสือ;San Chao Pho Suea;10200;10200;;
1001;100106;เสาชิงช้า;Sao Chingcha;10200;10200;;
1001;100107;บวรนิเวศ;Bowon Niwet;10200;10200;;
1001;100108;ตลาดยอด;Talat Yot;10200;10200;;
1001;100109;ชนะสงคราม;Chana Songkhram;10200;10200;;
1001;100110;บ้านพานถม;Ban Phan Thom;10200;10200;;
1001;100111;บางขุนพรหม;Bang Khun Phrom;10200;10200;;
1001;100112;วัดสามพระยา;Wat Sam Phraya;10200;10200;;
1002;100201;ดุสิต;Dusit;10300;10300;;
1002;100202;วชิรพยาบาล;Wachira Phayaban;10300;10300;;
1002;100203;สวนจิตรลดา;Suan Chitlada;10300;10300/10303;ภายในพระราชวังดุสิต ใช้รหัส 10303;
1002;100204;สี่แยกมหานาค;Si Yaek Mahanak;10300;10300;;
1002;100206;ถนนนครไชยศรี;Thanon Nakhon Chai Si;10300;10300;;
1003;100301;กระทุ่มราย;Krathum Rai;10530;10530;;
1003;100302;หนองจอก;Nong Chok;10530;10530;;
1003;100303;คลองสิบ;Khlong Sip;10530;10530;;
1003;100304;คลองสิบสอง;Khlong Sip Song;10530;10530;;
1003;100305;โคกแฝด;Khok Faet;10530;10530;;
1003;100306;คู้ฝั่งเหนือ;Khu Fang Nuea;10530;10530;;
1003;100307;ลำผักชี;Lam Phak Chi;10530;10530;;
1003;100308;ลำต้อยติ่ง;Lam Toiting;10530;10530;;
1004;100401;มหาพฤฒาราม;Maha Phruettharam;10500;10500;;
1004;100402;สีลม;Si Lom;10500;10500;;
1004;100403;สุริยวงศ์;Suriyawong;10500;10500;;
1004;100404;บางรัก;Bang Rak;10500;10500;;
1004;100405;สี่พระยา;Si Phraya;10500;10500;;
1005;100502;อนุสาวรีย์;Anusawari;10220;10220;;
1005;100508;ท่าแร้ง;Tha Raeng;10220;10220/10230;หมู่ 8-10 ใช้รหัส 10230;
1006;100601;คลองจั่น;Khlong Chan;10240;10240;;
1006;100608;หัวหมาก;Hua Mak;10240;10240/10250;หมู่บ้านเสรี ใช้รหัส 10250;
1007;100701;รองเมือง;Rong Mueang;10330;10330;;
1007;100702;วังใหม่;Wang Mai;10330;10110/10120/10330/10400/10500;ยกเว้น ศาลแขวงปทุมวัน ใช้รหัส 10500, อาคารเพลินจิตเซ็นเตอร์ ใช้รหัส 10110, อาคารลุมพินีทาวเวอร์ ใช้รหัส 10120, อาคารวิทยุคอมเพล็กซ์ บ้านปทุมวัน ปทุมวันรีสอร์ท และ ธนาคารไทยพาณิชย์สาขาชิดลม ใช้รหัส 10400;
1007;100703;ปทุมวัน;Pathum Wan;10330;10330;;
1007;100704;ลุมพินี;Lumphini;10330;10330;;
1008;100801;ป้อมปราบ;Pom Prap;10100;10100;;
1008;100802;วัดเทพศิรินทร์;Wat Thep Sirin;10100;10100;;
1008;100803;คลองมหานาค;Khlong Maha Nak;10100;10100;;
1008;100804;บ้านบาตร;Ban Bat;10100;10100;;
1008;100805;วัดโสมนัส;Wat Sommanat;10100;10100;;
1009;100905;บางจาก;Bang Chak;10260;10260;;
1009;100910;พระโขนงใต้;Phra Khanong Tai;10260;10260;;
1010;101001;มีนบุรี;Min Buri;10510;10510;;
1010;101002;แสนแสบ;Saen Saep;10510;10510;;
1011;101101;ลาดกระบัง;Lat Krabang;10520;10520;;
1011;101102;คลองสองต้นนุ่น;Khlong Song Ton Nun;10520;10520;;
1011;101103;คลองสามประเวศ;Khlong Sam Prawet;10520;10520;;
1011;101104;ลำปลาทิว;Lam Pla Thio;10520;10520;;
1011;101105;ทับยาว;Thap Yao;10520;10520;;
1011;101106;ขุมทอง;Khum Thong;10520;10520;;
1012;101203;ช่องนนทรี;Chong Nonsi;10120;10120;;
1012;101204;บางโพงพาง;Bang Phongphang;10120;10120;;
1013;101301;จักรวรรดิ;Chakkrawat;10100;10100;;
1013;101302;สัมพันธวงศ์;Samphanthawong;10100;10100;;
1013;101303;ตลาดน้อย;Talat Noi;10100;10100;;
1014;101401;สามเสนใน;Sam Sen Nai;10400;10400;;
1014;101406;พญาไท;Phaya Thai;10400;10400;;
1015;101501;วัดกัลยาณ์;Wat Kanlaya;10600;10600;;
1015;101502;หิรัญรูจี;Hiran Ruchi;10600;10600;;
1015;101503;บางยี่เรือ;Bang Yi Ruea;10600;10600;;
