TambonID;TambonThaiShort;TambonEngShort;PostCodeMain;PostCodeAll;PostalCodeRemark;DistrictID;DistrictThaiShort;DistrictEngShort;ProvinceID;ProvinceThai;ProvinceEng;ภูมิภาคอย่างเป็นทางการ
100101;พระบรมมหาราชวัง;Phra Borom Maha Ratchawang;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100102;วังบูรพาภิรมย์;Wang Burapha Phirom;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100103;วัดราชบพิธ;Wat Ratchabophit;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100104;สำราญราษฎร์;Samran Rat;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100105;ศาลเจ้าพ่อเสือ;San Chao Pho Suea;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100106;เสาชิงช้า;Sao Chingcha;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100107;บวรนิเวศ;Bowon Niwet;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100108;ตลาดยอด;Talat Yot;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100109;ชนะสงคราม;Chana Songkhram;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100110;บ้านพานถม;Ban Phan Thom;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100111;บางขุนพรหม;Bang Khun Phrom;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100112;วัดสามพระยา;Wat Sam Phraya;10200;10200;;1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100201;ดุสิต;Dusit;10300;10300;;1002;ดุสิต;Dusit;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100202;วชิรพยาบาล;Wachira Phayaban;10300;10300;;1002;ดุสิต;Dusit;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100203;สวนจิตรลดา;Suan Chitlada;10300;10300/10303;ภายในพระราชวังดุสิต ใช้รหัส 10303;1002;ดุสิต;Dusit;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100204;สี่แยกมหานาค;Si Yaek Mahanak;10300;10300;;1002;ดุสิต;Dusit;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100206;ถนนนครไชยศรี;Thanon Nakhon Chai Si;10300;10300;;1002;ดุสิต;Dusit;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100301;กระทุ่มราย;Krathum Rai;10530;10530;;1003;หนองจอก;Nong Chok;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100302;หนองจอก;Nong Chok;10530;10530;;1003;หนองจอก;Nong Chok;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100303;คลองสิบ;Khlong Sip;10530;10530;;1003;หนองจอก;Nong Chok;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100304;คลองสิบสอง;Khlong Sip Song;10530;10530;;1003;หนองจอก;Nong Chok;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100305;โคกแฝด;Khok Faet;10530;10530;;1003;หนองจอก;Nong Chok;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100306;คู้ฝั่งเหนือ;Khu Fang Nuea;10530;10530;;1003;หนองจอก;Nong Chok;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100307;ลำผักชี;Lam Phak Chi;10530;10530;;1003;หนองจอก;Nong Chok;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100308;ลำต้อยติ่ง;Lam Toiting;10530;10530;;1003;หนองจอก;Nong Chok;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100401;มหาพฤฒาราม;Maha Phruettharam;10500;10500;;1004;บางรัก;Bang Rak;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100402;สีลม;Si Lom;10500;10500;;1004;บางรัก;Bang Rak;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100403;สุริยวงศ์;Suriyawong;10500;10500;;1004;บางรัก;Bang Rak;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100404;บางรัก;Bang Rak;10500;10500;;1004;บางรัก;Bang Rak;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100405;สี่พระยา;Si Phraya;10500;10500;;1004;บางรัก;Bang Rak;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100502;อนุสาวรีย์;Anusawari;10220;10220;;1005;บางเขน;Bang Khen;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100508;ท่าแร้ง;Tha Raeng;10220;10220/10230;หมู่ 8-10 ใช้รหัส 10230;1005;บางเขน;Bang Khen;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100601;คลองจั่น;Khlong Chan;10240;10240;;1006;บางกะปิ;Bang Kapi;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
100608;หัวหมาก;Hua Mak;10240;10240/10250;หมู่บ้านเสรี ใช้รหัส 10250;1006;บางกะปิ;Bang Kapi;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
